benchmark,resolution,model_name,series,size,mAP
MOT17,288,yolov8l,YOLOv8,Large,0.4977381874423101
MOT17,288,yolov8m,YOLOv8,Medium,0.47570946115475055
MOT17,288,yolov8n,YOLOv8,Nano,0.34978629755545254
MOT17,288,yolov8s,YOLOv8,Small,0.42010052362730194
MOT17,288,yolov8x,YOLOv8,X-Large,0.510308431891566
MOT17,416,yolov8l,YOLOv8,Large,0.5530743199255362
MOT17,416,yolov8m,YOLOv8,Medium,0.5463631978477489
MOT17,416,yolov8n,YOLOv8,Nano,0.4649501429095063
MOT17,416,yolov8s,YOLOv8,Small,0.5158735503954855
MOT17,416,yolov8x,YOLOv8,X-Large,0.5688003432305786
MOT17,640,yolov8l,YOLOv8,Large,0.6099163168089575
MOT17,640,yolov8m,YOLOv8,Medium,0.6148859806111678
MOT17,640,yolov8n,YOLOv8,Nano,0.5628694718396285
MOT17,640,yolov8s,YOLOv8,Small,0.6038127153752022
MOT17,640,yolov8x,YOLOv8,X-Large,0.626350284367751
MOT17,864,yolov8l,YOLOv8,Large,0.6367261122574306
MOT17,864,yolov8m,YOLOv8,Medium,0.6344605927145814
MOT17,864,yolov8n,YOLOv8,Nano,0.6057323372897266
MOT17,864,yolov8s,YOLOv8,Small,0.6364529043424628
MOT17,864,yolov8x,YOLOv8,X-Large,0.6485610897059464
MOT17,1088,yolov8l,YOLOv8,Large,0.6514311826667388
MOT17,1088,yolov8m,YOLOv8,Medium,0.649462394035589
MOT17,1088,yolov8n,YOLOv8,Nano,0.6220451098810362
MOT17,1088,yolov8s,YOLOv8,Small,0.6504652229863068
MOT17,1088,yolov8x,YOLOv8,X-Large,0.6567876311326148
