benchmark,resolution,model_name,series,size,mAP,benchmark_time_sec
MOT17,288,yolov8l,YOLOv8,Large,0.4975984355236346,54.696444000001065
MOT17,288,yolov8m,YOLOv8,Medium,0.47582678022262254,48.440292999999656
MOT17,288,yolov8n,YOLOv8,Nano,0.34980696026740177,48.19822170000043
MOT17,288,yolov8s,YOLOv8,Small,0.4198748430471471,46.76697090000016
MOT17,288,yolov8x,YOLOv8,X-Large,0.5105339430949267,54.89731119999851
MOT17,416,yolov8l,YOLOv8,Large,0.5530054314971401,59.77738409999802
MOT17,416,yolov8m,YOLOv8,Medium,0.5461722984348969,53.141478699999425
MOT17,416,yolov8n,YOLOv8,Nano,0.46471476124604283,49.40837079999983
MOT17,416,yolov8s,YOLOv8,Small,0.5157490535742661,51.57242010000118
MOT17,416,yolov8x,YOLOv8,X-Large,0.5684745637480174,73.78413979999823
MOT17,640,yolov8l,YOLOv8,Large,0.6095025811240514,90.5341112999995
MOT17,640,yolov8m,YOLOv8,Medium,0.6152035626218303,77.3413176000031
MOT17,640,yolov8n,YOLOv8,Nano,0.5626647596281716,56.30790500000148
MOT17,640,yolov8s,YOLOv8,Small,0.6035983434306658,60.383652799999254
MOT17,640,yolov8x,YOLOv8,X-Large,0.6259738831054544,109.94813260000228
MOT17,864,yolov8l,YOLOv8,Large,0.6364820272652585,125.78341670000009
MOT17,864,yolov8m,YOLOv8,Medium,0.6341012161227333,95.87148629999865
MOT17,864,yolov8n,YOLOv8,Nano,0.6056093308237687,61.17071769999893
MOT17,864,yolov8s,YOLOv8,Small,0.6359056633131195,69.94107480000093
MOT17,864,yolov8x,YOLOv8,X-Large,0.6479485585080393,199.69304589999956
MOT17,1088,yolov8l,YOLOv8,Large,0.6509772219935578,413.28357459999825
MOT17,1088,yolov8m,YOLOv8,Medium,0.6490969257076011,308.0588315999994
MOT17,1088,yolov8n,YOLOv8,Nano,0.62169900247889,152.45312040000135
MOT17,1088,yolov8s,YOLOv8,Small,0.6502981689413008,188.6833786999996
MOT17,1088,yolov8x,YOLOv8,X-Large,0.6564764809087351,569.1757291000031
